party,first_name,last_name
Republican,susan,brooks
Democrat,susan,davis
Democrat,susan,wild
Democrat,susie,lee
Democrat,suzan,delbene
Democrat,suzanne,bonamici
Democrat,sylvia,garcia
Republican,ted,budd
Democrat,ted,deutch
Democrat,ted,lieu
Republican,ted,yoho
Democrat,teresa,fernandez
Democrat,terri,sewell
Democrat,theodore,deutch
Republican,thomas,massie
Democrat,thomas,suozzi
Republican,thomas,tiffany
Republican,tim,burchett
Democrat,tim,ryan
Republican,tim,walberg
Democrat,tj,cox
Republican,tom,cole
Republican,tom,emmer
Republican,tom,graves
Democrat,tom,halleran
Democrat,tom,malinowski
Republican,tom,marino
Republican,tom,mcclintock
Democrat,tom,o'halleran
Republican,tom,reed
Republican,tom,rice
Democrat,tony,cardenas
Republican,tracey,mann
Republican,trent,kelly
Republican,trey,hollingsworth
Republican,troy,balderson
Republican,troy,nehls
Republican,troy ,balderson
Democrat,tulsi,gabbard
Democrat,val,demings
Republican,nicholas,taylor
Republican,vern,buchanan
Democrat,veronica,escobar
Democrat,vicente,gonzalez
Republican,vicky,hartzler
Republican,victoria,spartz
Republican,virginia,foxx
Republican,walter,jones
Republican,warren,davidson
Republican,will,hurd
Democrat,william,keating
Democrat,william,pascrell
Republican,william,thornberry
Republican,william,timmons
Democrat,wm.,clay
Democrat,xochitl,small
Republican,young,kim
Democrat,yvette,clarke
Democrat,zoe,lofgren
